run_id,frame_number,timestamp,source,state,previous_state,transition_reason,target_present,ground_truth_x,ground_truth_y,ideal_projected_x,ideal_projected_y,rendered_centroid_x,rendered_centroid_y,estimated_centroid_x,estimated_centroid_y,centroid_error_ideal,centroid_error_rendered,tracking_error,detection_confidence,candidate_count,detection_valid,pan_angle,tilt_angle,pan_command,tilt_command,processing_time_ms,fps
run_1788625614,0,0.0,SIMULATION,SEARCHING,SEARCHING,Reset,False,752.7679466197553,1893.5928379936115,,,,,,,,,,0.0,0,False,-0.03333333333333333,-0.025,-1.0,-0.75,12.61799999338109,79.25186246033927
run_1788625614,1,0.03333333333333333,SIMULATION,SEARCHING,SEARCHING,Reset,False,753.9464579217329,1894.771349295589,,,,,,,,,,0.0,0,False,-0.06666666666666667,-0.05,-1.0,-0.75,7.952800006023608,125.74187697950158
run_1788625614,2,0.06666666666666667,SIMULATION,SEARCHING,SEARCHING,Reset,False,755.1249692237104,1895.9498605975666,,,,,,,,,,0.0,0,False,-0.1,-0.07500000000000001,-1.0,-0.75,5.725000009988435,174.6724887782175
run_1788625614,3,0.1,SIMULATION,SEARCHING,SEARCHING,Reset,False,756.303480525688,1897.1283718995442,,,,,,,,,,0.0,0,False,-0.13333333333333333,-0.1,-1.0,-0.75,7.401700000627898,135.10409769582236
run_1788625614,4,0.13333333333333333,SIMULATION,SEARCHING,SEARCHING,Reset,False,757.4819918276655,1898.3068832015217,,,,,,,,,,0.0,0,False,-0.16666666666666666,-0.125,-1.0,-0.75,7.996700005605817,125.05158369064536
run_1788625614,5,0.16666666666666666,SIMULATION,SEARCHING,SEARCHING,Reset,False,758.6605031296431,1899.4853945034993,,,,,,,,,,0.0,0,False,-0.19999999999999998,-0.15,-1.0,-0.75,8.390499991946854,119.18240879086984
run_1788625614,6,0.19999999999999998,SIMULATION,SEARCHING,SEARCHING,Reset,False,759.8390144316206,1900.6639058054768,,,,,,,,,,0.0,0,False,-0.2333333333333333,-0.175,-1.0,-0.75,5.79680000373628,172.508970355275
run_1788625614,7,0.2333333333333333,SIMULATION,SEARCHING,SEARCHING,Reset,False,761.0175257335982,1901.8424171074544,,,,,,,,,,0.0,0,False,-0.26666666666666666,-0.19999999999999998,-1.0,-0.75,4.4421999918995425,225.11368282011702
run_1788625614,8,0.26666666666666666,SIMULATION,SEARCHING,SEARCHING,Reset,False,762.1960370355757,1903.020928409432,,,,,,,,,,0.0,0,False,-0.3,-0.22499999999999998,-1.0,-0.75,5.041800002800301,198.34186192323835
run_1788625614,9,0.3,SIMULATION,SEARCHING,SEARCHING,Reset,False,763.3745483375533,1904.1994397114095,,,,,,,,,,0.0,0,False,-0.3333333333333333,-0.24999999999999997,-1.0,-0.75,5.297299998346716,188.77541394901164
